"id","Default","en","ru"
"cases.details.msgall","All results","All results","Все результаты"
"cases.details.msglast","Last result","Last result","Последний результат"
"cases.details.newconsult","New consultation","New consultation","Новое обследование"
"cases.details.newresult","New","New","Новый результат"
"cases.details.notreatment","Treatment not started","Treatment not started","Лечение не начато"
"cases.details.otherinfo","Additional information","Additional information","Дополнительная информация"
"cases.details.others","Other cases","Other cases","Другие пациенты с"
"cases.details.report1","Drugogram","Drugogram","Резюме случая"
"cases.details.report1.sample","Sample ID","Sample ID","Идентификация мазка"
"cases.details.report1.tit","AFB/Cult","AFB/Cult","Наличие кислотоустойчивых бактерий (acid-fast bacilli -AFB/Культура)"
"cases.details.result","Result","Result","Результат"
"cases.details.starttreatment","Start treatment","Start treatment","Начать лечение"
"cases.details.treatment","Treatment","Treatment","Лечение"
"cases.details.treatment.medintake","Medicine intake follow-up","Medicine intake follow-up","Последующее наблюдение после приема медикаментов"
"cases.details.treatment.prescmeds","Prescription","Prescription","Назначение"
"cases.details.valerror1","The diagnosis date cannot be before the registration date","The diagnosis date cannot be before the registration date","Дата установления диагноза не может предшествовать дате регистрации"
"cases.details.valerror2","Date entered in BMU TB register can't be after date entered in SL treatment TB register","Date entered in BMU TB register can't be after date entered in SL treatment TB register","Дата введенная в BMU TB журнал не может быть введена  позже чем дата введенная в ТБ журнал по терапии второй линии"
"cases.disp.types","D= DOT; S = Self Administered; N = Not Taken.","D= DOT; S = Self Administered; N = Not Taken.","Д=DOT, C=принял сам, H=не принял"
"cases.distrib.places","On-going cases distribution","On-going cases distribution","Распределение осуществляемых случаев"
"cases.drtb","DR-TB cases","DR-TB cases","Лекарственно-резистентные ТБ случаи"
"cases.edit","Edit case","Edit case","Редактировать случай"
"cases.examculture","Culture","Culture","Анализ культуры"
"cases.examdst","Drug susceptibility test (DST) and line probe assay (LPA)","Drug susceptibility test (DST) and line probe assay (LPA)","DST- лекарственная чувствительность и LPA - молекулярная гибридизация с типоспецифичными зондами"
"cases.examdst.resultAm","Result Am","Result Am","Результат Ampicillin"
"cases.examdst.resultCfz","Result Cfz","Result Cfz","Результат Clofazimine"
"cases.examdst.resultCm","Result Cm","Result Cm","Результат Cаpreomycin "
"cases.examdst.resultCs","Result Cs","Result Cs","Результат Cycloserine"
"cases.examdst.resultE","Result E","Result E","Результат  Ethambutol"
"cases.examdst.resultEto","Result Eto","Result Eto","Результат Ethionamide"
"cases.examdst.resultH","Result H","Result H","Результат Isoniasid"
"cases.examdst.resultLfx","Result Lfx","Result Lfx","Результат Levofloxacin"
"cases.examdst.resultOfx","Result Ofx","Result Ofx","Результат Ofloxacin"
"cases.examdst.resultR","Result R","Result R","Результат Rifampicin"
"cases.examdst.resultS","Result S","Result S","Результат Streptomycin"
"cases.examdst.resultZ","Result Z","Result Z","Результат Pyrazinamide"
"cases.examhiv","HIV","HIV","Тест на ВИЧ"
"cases.examhiv.art","Started on ART ?","Started on ART ?","Применяли ART ?"
"cases.examhiv.cpt","Started on CPT ?","Started on CPT ?","Применяли CPT ?"
"cases.examhiv.vct","VCT was done?","VCT was done?","VCT сделано?"
"cases.exammicroscopy","Microscopy","Microscopy","Микроскопия"
"cases.exams.afb","Number of AFB","Number of AFB","Номер отчета по AFB -Наличии кислотоустойчивых бактерий"
"cases.exams.date","Date sample collected","Date sample collected","Дата сбора материала"
"cases.exams.dateRelease","Date of release","Date of release","Дата получения результата"
"cases.exams.datereleasebeforecol","The date of release cannot be before the collected date","The date of release cannot be before the collected date","Дата получения результата не может предшествовать дате сбора материала"
"cases.exams.datesampleexists","There is already an exam registered with the same sample ID or collected date","There is already an exam registered with the same sample ID or collected date","Уже зарегистрирован случай с аналогичной идентификацией мазка или собраным материалом"
"cases.exams.media","Media used","Media used","Средство коммуникации "
"cases.exams.method","Method","Method","Использовалась методика"
"cases.exams.prevdt","Before TB Diagnosis","Before TB Diagnosis","Предшествовал диагностике ТБ"
"cases.exams.results","Exam result information","Exam result information","Информация о результатах теста"
"cases.exams.selsample","Select available sample","Select available sample","Выбрать имеющийся мазок"
"cases.exams.zero","Month of Diagnosis","Month of Diagnosis","Диагностика ТБ"
"cases.examxpert","Xpert MTB/RIF test","Xpert MTB/RIF test","Xpert MTB/RIF тест"
"cases.examxray","X-Ray","X-Ray","Рентгеноскопия"
"cases.filters.others","Other filters","Other filters","Другие фильтры"
"cases.filterserror","You have to select at least one type of diagnosis and one classification.","You have to select at least one type of diagnosis and one classification.","Необходимо выбрать хотя бы один тип диагноза и одну классификацию"
"cases.generaldata","Case data","Case data","Информация о случае ТБ"
"cases.healthUnit","Health Unit","Health Unit","Лечебное  учреждение"
"cases.hivresult","HIV Test Result","HIV Test Result","Результат ВИЧ-теста"
"cases.issues","Issues","Issues","Замечания"
"cases.issues.new","New issue","New issue","Новое замечание"
"cases.mantreatment","Treatment progress","Treatment progress","Ход лечения"
"cases.mantreatmentplaned","Planned treatment progress","Planned treatment progress","Течение плановой терапии"
"cases.movdate","Transfer date","Transfer date","Дата  перевода пациента"
"cases.move","Transfer to another health unit","Transfer to another health unit","Перевод в другое медучреждение  для лечения"
"cases.move.cancel","Roll back transfer","Roll back transfer","Возвращение в прежнее медучреждение"
"cases.move.cancel-confirm","Do you really want to roll back the transfer in to unit {0}","Do you really want to roll back the transfer in to unit {0}","Вы действительно хотите вернуть пациента в прежнее медучреждение {0}?"
"cases.move.confirm","Confirm transference","Confirm transference","Подтверждение восстановления"
"cases.move.confirm.notallow","You can't confirm this transference","You can't confirm this transference","Вы не можете подтвердить это восстановление"
"cases.move.date","Transference date","Transference date","Дата восстановления"
"cases.move.errordt-transferin","The date of transfer in cannot be before the date of transfer out from the previous health unit","The date of transfer in cannot be before the date of transfer out from the previous health unit","Дата поступления (перевода) не может предшествовать дате выписки (перевода) из предыдущего медучреждения"
"cases.move.errortreatdate","Transfer date must be inside the treatment period of the current health unit","Transfer date must be inside the treatment period of the current health unit","Дата перевода должна быть в рамках периода лечения в учреждении, где в данное время находится больной."
"cases.move.errorunit","The transferred health unit is the same treatment health unit","The transferred health unit is the same treatment health unit","Нельзя перевести в то же учреждение"
"cases.move.msg","This case is being transferred to","This case is being transferred to","этот случай пкркдан в"
"cases.move.notreat","Cannot transfer because case is not under treatment in the entered date","Cannot transfer because case is not under treatment in the entered date","Перевод невозможен, поскольку больной не находится на лечении при указанной дате"
"cases.move.regtransferin","Register transfer in","Register transfer in","Зарегистрировать перевод"
"cases.move.rollback","Transfer rolled back","Transfer rolled back","Провести возвращение больного"
"cases.move.success","The case was successfully transferred","The case was successfully transferred","Перевод больного прошел успешно"
"cases.move.success-transferin","Case was successfully transferred into the health unit","Case was successfully transferred into the health unit","Больной был успешно переведен в лечебное учреждение"
"cases.move.transferin-date","Date of transfer in","Date of transfer in","Дата перевода"
"cases.new","New confirmed case","New confirmed case","Новый случай"
"cases.new.birthdatereq","The birth date is required","The birth date is required","Укажите дату рождения"
"cases.new.gonotif","Go to notification form","Go to notification form","Идите к форме оповещания"
"cases.new.msg","Patient was not found in the list below","Patient was not found in the list below","Пациент не был найден в spiske"
"cases.new.namereq","Patient name is required","Patient name is required","Укажите имя пациента"
"cases.new.selpatient","Select a patient to be notified","Select a patient to be notified","Выберите пациента для оповещения"
"cases.newnotifof"," New notification of","New notification of","Новое извещение от"
"cases.newnotif","New notification","New notification","Новое извещение"
"cases.newnotif.title","Select the appropriate classification of the case","Select the appropriate classification of the case","Выберите соответствующую  классификацию ТБ случаев"
"cases.newpatient","New patient","New patient","Новый пациент"
"cases.newregimen","Add new regimen","Add new regimen","Добавить новую схему лечения"
"cases.newsearch","New search","New search","Новый поиск"
"cases.newsusp","New presumptive case","New presumptive case","Подозреваемый"
"cases.nonumber","Unnumbered","Unnumbered","Без номера"
"cases.noregimen","No treatment regimen defined for this case","No treatment regimen defined for this case","Для данного случая схема лечения не определена"
"cases.notifycase","Notify case","Notify case","Уведомите о случае"
"cases.notifysusp","Notify presumptive","Notify presumptive","Уведомите о предпологаемом случае"
"cases.ongoing","On-going cases","On-going cases","Текущие случаи ТБ"
"cases.ongoing.notifs","Cases notified","Cases notified","Зарегистрированные случаи"
"cases.ongoing.notontreat","Not on treatment","Not on treatment","Не на лечении"
"cases.outcome","Outcome","Outcome","Результат"
"cases.patientdata","Patient data","Patient data","Данные о пациенте"
"cases.pending","Issues in the case","Issues in the case","Проблемы по данному случаю"
"cases.pending.answer","Answer pendings","Answer pendings","В ожидании решения, ответ"
"cases.pending.answermsg","Enter an answer to the issue above","Enter an answer to the issue above","Введите ответ по вышеуказанной проблеме"
"cases.pending.email.msg01","New pending registered","New pending registered","Новый зарегистрированный в процессе"
"cases.pending.email.msg02","A case pending has been answered","A case pending has been answered","Причина по которой случай находился в ожидании разрешена"
"cases.pending.email.msg03","A new pending was registered for the case below","A new pending was registered for the case below","Новый случай в ожидании выл зарегистрирован для следующего случая"
"cases.pending.email.msg04","The pending of the case below has been answered","The pending of the case below has been answered","Внизу причины ожидания случая  объяснены"
"cases.pending.email.msg05","Pending details","Pending details","Обьяснение причин ожидания"
"cases.pending.email.msg06","Answer details","Answer details","Детали ответа"
"cases.pending.email.msg07","For more details about the case, click on the link below","For more details about the case, click on the link below","Для дополнительных деталей о случае, нажмите на ссылку ниже"
"cases.pending.lastIssue","Last issue posted","Last issue posted","Последняя указанная роблема"
"cases.pending.msg","The information in this case have not been validated. It is pending","The information in this case have not been validated. It is pending","Информация по данному случаю пока не подтверждена. Ожидается"
"cases.pending.notify","Post pendings","Post pendings","""Регистрировать: """"в ожидании решения"""""""
"cases.pending.pendingmsg","Enter the field below with the description of the pending","Enter the field below with the description of the pending","В нижнем поле дайте описание отложенного вопроса"
"cases.prevtreat","Previous TB treatments","Previous TB treatments","Предыдущие лечения ТБ"
"cases.prevtreat.am","Am","Am","Am-Ampicillin"
"cases.prevtreat.cfz","Cfz","Cfz","Cfz - Clofazimine"
"cases.prevtreat.cm","Cm","Cm","Cm - Capreomycin"
"cases.prevtreat.cs","Cs","Cs","Cs  - Cycloserine"
"cases.prevtreat.date","Start month/year","Start month/year","Месяц/год начала"
"cases.prevtreat.e","E","E","E- Ethambutol "
"cases.prevtreat.edt","Edit previous TB treatment","Edit previous TB treatment","Скоректируйте ТБ терапию"
"cases.prevtreat.endmonth","Outcome month","Outcome month","Исход - месяц"
"cases.prevtreat.endyear","Outcome year","Outcome year","Исход - год"
"cases.prevtreat.eto","Eto","Eto","Eto - Ethionamide"
"cases.prevtreat.h","H","H","H - Isoniasid"
"cases.prevtreat.inimonth","Start month","Start month","Начало - месяц"
"cases.prevtreat.iniyear","Start year","Start year","Начало - год"
"cases.prevtreat.lfx","Lfx","Lfx","Lfx - Levofloxacin"
"cases.prevtreat.meds","Medicines used during the treatment","Medicines used during the treatment","Препараты, которые принимал больной"
"cases.prevtreat.msg0","Initial month/year can't be after outcome month/year","Initial month/year can't be after outcome month/year","Начальный месяц/год не может быть после месяца/года исхода"
"cases.prevtreat.msg1","To fill in outcome month you must select outcome year.","To fill in outcome month you must select outcome year.","Чтобы внести данные исхода вы должны выбрать год"
"cases.prevtreat.new","Add previous TB treatment","Add previous TB treatment","Новая предыдущая ТБ терапия"
"cases.prevtreat.num","#","#","№"
"cases.prevtreat.numprev","Number of previous TB treatments","Number of previous TB treatments","Количество предшествующих курсов лечения ТБ"
"cases.prevtreat.ofx","Ofx","Ofx","Ofx - Ofloxacin"
"cases.prevtreat.outcome","Outcome","Outcome","Исход"
"cases.prevtreat.r","R","R","R - Rifampicin"
"cases.prevtreat.regs","Mark \u201CX\u201D in the boxes below for the medicines used during the treatment","Mark \u201CX\u201D in the boxes below for the medicines used during the treatment","Отметить “X” препараты, которые принимал больной"
"cases.prevtreat.s","S","S","S - Streptomycin"
"cases.prevtreat.substances","Prescribed medicines","Prescribed medicines","Назначенные медикаменты"
"cases.prevtreat.z","Z","Z","Z - Pyrazinamide"
"cases.print","Print whole case","Print whole case","Распечатать весь случай"
"cases.regimens","Treatment regimens","Treatment regimens","Схемы лечения"
"cases.regimens.addmed","Add medicine","Add medicine","Добавить препарат"
"cases.regimens.change","Change regimen","Change regimen","Изменить схему лечения"
"cases.regimens.changeperiod","Change Treatment End Date","Change Treatment End Date","Изменить период"
"cases.regimens.dateafter","The end date cannot be after {0}","The end date cannot be after {0}","Дата окончания лечения должна быть не позже {0}"
"cases.regimens.datebefore","The start regimen date cannot be before {0}","The start regimen date cannot be before {0}","Дата начала лечения не может предшествовать {0}"
"cases.regimens.dates","Change regimen period","Change regimen period","Изменить период схемы лечения"
"cases.regimens.edt","Edit treatment regimen","Edit treatment regimen","Редактировать схему лечения"
"cases.regimens.errordateus","The start date is not compatible with the health unit","The start date is not compatible with the health unit","Дата начала не совпадает с медучреждением"
"cases.regimens.msg1","The regimen phase must be entered","The regimen phase must be entered","Введите фазу лечения"
"cases.regimens.phasereq","The regimen phase is required","The regimen phase is required","Необходимо указать фазу схемы лечения"
"cases.regimens.remove","Delete regimen","Delete regimen","Удалить схему лечения"
"cases.regimens.spdtrequired","The splitting date is required","The splitting date is required","Введите дату разделения схемы лечения на этапы"
"cases.regimens.split","Split period","Split period","Период разделения"
"cases.regimens.splitdate","Splitting date","Splitting date","Дата разделения"
"cases.regimens.splitmsg","The splitting regimen date must be between the following dates:","The splitting regimen date must be between the following dates:","Дата разделения схемы должна быть между следующими датами:"
"cases.regimens.splittitle","Split case regimen","Split case regimen","Разделение схемы лечения данного случая"
"cases.regimens.splitvalmsg","Invalid date","Invalid date","Дата недействительна"
"cases.registered","Registered cases","Registered cases","Зарегистрированные случаи"
"cases.regs","Treatment regimens","Treatment regimens","Схемы лечения"
"cases.reopen","Reopen case","Reopen case","Возобновить случай"
"cases.reopen.confirm","Confirm case reopen?","Confirm case reopen?","Подтвердить возобновление случая?"
"cases.searchfor","Search for","Search for","Искать"
"cases.searchpatient","Search for patient to be notified","Search for patient to be notified","Поиск пациента"
"cases.searchresult","Case search results","Case search results","Результаты поиска случая"
"cases.setregimen","Set regimen","Set regimen","Определить схему лечения"
"cases.sideeffects","Adverse Reactions to Medicines","Adverse Reactions to Medicines","Побочные реакции  на препараты"
"cases.sideeffects.action","Action Taken","Action Taken","Действие принято"
"cases.sideeffects.desc","Adverse Reaction","Adverse Reaction","Побочный эффект"
"cases.sideeffects.errormsg1","The case must be on treatment to register an adverse reaction.","The case must be on treatment to register an adverse reaction.","Случай должен быть на лечении  для того чтобы зарегиструровать побочный эффект"
"cases.sideeffects.grade","Grading","Grading","Сортировка"
"cases.sideeffects.medicine","Medicine related","Medicine related","Побочная реакция  проявилась на"
"cases.sideeffects.month","Month of treatment","Month of treatment","Месяц лечения"
"cases.sideeffects.outcome","Outcome","Outcome","Исход"
"cases.sideeffects.resolved","Resolved?","Resolved?","Купированы (да/нет)"
"cases.sideeffects.samemonth","It already exists he same side effect for the same month of treatment.","It already exists he same side effect for the same month of treatment.","Этот  побочный эффект  существует для того же месяца лечения"
"cases.sideeffects.sameperiod","It already exists a same side effect registere with a period that intercedes the period specified.","It already exists a same side effect registere with a period that intercedes the period specified.","Этот побочный эффект зарегистрирован в период который накдладывается на заданный период"
"cases.sideeffects.seriousness","Seriousness","Seriousness","Серьезные"
"cases.sit.CONF.date","Diagnosed in {0}","Diagnosed in {0}","Диагноз поставлен в  {0}"
"cases.sit.ONTREAT.date","On treatment since {0}","On treatment since {0}","На лечении с  {0}"
"cases.sit.OUTCOME.date","Finished in {0}","Finished in {0}","Случай закончен в  {0}"
"cases.sit.SUSP","Waiting for confirmation","Waiting for confirmation","Ждать подтверждения"
"cases.sit.SUSP.date","Registered in {0}","Registered in {0}","Зарегистрирован в  {0}"
"cases.sit.current","Latest case","Latest case","Последний случай"
"cases.suspect.followup","Presumptive case follow-up","Presumptive case follow-up","Наблюдение  подозреваемого"
"cases.suspectOnTreatment","Presumptive on treatment","Presumptive on treatment","Подозреваемые на лечении"
"cases.suspects","Presumptives","Presumptives","Предположительные"
"cases.tb","TB cases","TB cases","ТБ случаи"
"cases.title.drtbcases","DR-TB","DR-TB","Лекарственно-резистентный ТБ"
"cases.title.ntmcases","NTM","NTM","Нетуберкулезная микобактерия"
"cases.title.places","Place","Place","Место"
"cases.title.tbcases","TB","TB","ТБ"
"cases.toBeNotified","to be notified","to be notified","Дoлжен быть уведомлен"
"cases.transferin.mail","A new patient transfer was recorded in EtbManager from the unit","A new patient transfer was recorded in e-TB Manager from the unit","Перевод нового пациента  был зарегистрирован  в e-TB Manager  с  учреждения"
"cases.transferin.mail2","For more details about the case and to register the transference, click on the link below","For more details about the case and to register the transference, click on the link below","Для дополнительных деталей о случае и регистрирования перевода, нажмите на ссылку ниже"
"cases.transferin2","Transferring between units","Transferring between units","Перевод между медучреждениями"
"cases.trasnferin","Transferred in","Transferred in","Больной поступил (переведён)"
"cases.trasnferout","Transferred out","Transferred out","Больной выписан (переведён)"
"cases.treat","Treatment period","Treatment period","Период лечения"
"cases.treat.contdateerror","The initial date of the continuous phase must be inside the treatment period","The initial date of the continuous phase must be inside the treatment period","Дата начала поддерживающей фазы должна находиться в рамках периода лечения"
"cases.treat.dates","Change treatment period","Change treatment period","Изменить период лечения"
"cases.treat.days","{0} of {1} day(s)","{0} of {1} day(s)","{0} из {1} дня (дней)"
"cases.treat.deletedperiod","Removed period","Removed period","удаленный период"
"cases.treat.disp","Administered","Administered (days)","Выдача  больному лекарств (по дням)"
"cases.treat.dispedt","Register medicine intake","Register medicine intake","Регистрация приема лекарств"
"cases.treat.dtmsg1","The end date is required","The end date is required","Необходимо указать конечную дату"
"cases.treat.inidatemsg","The treatment start date cannot before the diagnosis date","The treatment start date cannot before the diagnosis date","Дата начала лечения не может предшествовать дате установления диагноза"
"cases.treat.interrupt","Interrupt medicine treatment","Interrupt medicine treatment","Прервать медикаментозное лечение"
"cases.treat.mdr","DR-TB treatment","DR-TB treatment","Лечение ЛУ-ТБ"
"cases.treat.phaseerror","Invalid regimen phase for the selected period","Invalid regimen phase for the selected period","Фаза схемы лечения не подходит для выбранного периода"
"cases.treat.presc","Prescribed (days)","Prescribed (days)","Назначение лекарств (по дням)"
"cases.treat.preservePreviousPeriod","Preserve previous period for this medicine","Preserve previous period for this medicine","Сохраните данные предыдущего периода для этого препарата"
"cases.treat.regmovedtoindivid","Medicines not compatible with regimen currently prescribed. If confirmed, regimen will be change to individualized.","Medicines not compatible with regimen currently prescribed. If confirmed, regimen will be change to individualized.","Препараты не подходят к насначенному режиму. После подтверждения, режим будет изменен на индивидуализированный"
"cases.treat.selreg","Select the treatment regimen","Select the treatment regimen","Выбрать схему лечения"
"cases.treat.started","Patient has already started treatment","Patient has already started treatment","Больной уже начал лечение"
"cases.treat.startperiod","Treatment start period","Treatment start period","Начало периода лечения"
"cases.treat.tb","TB treatment","TB treatment","Лечение ТБ"
"cases.treat.undo","Undo treatment","Undo treatment","Отменить лечение"
"cases.treat.undo.confirm","Do you really want to undo treatment? All treatment information will be erased","Do you really want to undo treatment? All treatment information will be erased","Вы действительно хотите отменить лечение? Все данные о лечении будут удалены ."
"cases.treat.undo.executed","The treatment was successfully undone","The treatment was successfully undone","Лечение отменено"
"cases.treat.validatebefore","The validation must be done prior to start the treatment","The validation must be done prior to start the treatment","Валидация должна произойти до начала лечения"
"cases.treated","Cases on treatment or treated before","Cases on treatment or treated before","Случаи на терапии или бывшие на терапии ранее"
"cases.treatment.startindiv","Start individualized regimen","Start individualized regimen","Начало индивидуализированного режима"
"cases.treatment.startstandard","Start standard regimen","Start standard regimen","Начало стандартного режима"
"cases.validate","Validate case","Validate case","Валидировать случай"
"cases.validate.confirm","Confirm validation of the case?","Confirm validation of the case?","Подтвердить валидацию случая?"
"cases.validate.msg","Please confirm the information below before validate the case","Please confirm the information below before validate the case","Пожалуйста, подтвердите информацию ниже, прежде чем валидировать случай"
"cases.validate.success","The case was successfully validated","The case was successfully validated","Случай успешно валидирован"
"changelang","Change language","Change language","Изменить язык"
"changepwd","Change password","Change password","Изменить пароль"
"changepwd.emailsent","A new password email was successfully sent to","A new password email was successfully sent to","Новый пароль эл.почты был удачно послан (кому) "
"changepwd.expiredmsg","You have to enter a  new password in order to continue","You have to enter a  new password in order to continue","Вам необходимо ввести пароль чтобы продолжить"
"changepwd.invalidpassword","Invalid password","Invalid password","Неверный пароль"
"changepwd.invalidtoken","Invalid password request token","Invalid password request token","Пароль недействителен-требуйтк право доступа"
"changepwd.msg.1","Please provide a password that you will use to enter in eTB Manager","Please provide a password that you will use to enter in e-TB Manager","Пожалуйста дайте пароль который вы будете использовать при входе в eTB Manager"
"changepwd.msg1","Inform your password in use and the new one","Inform your password in use and the new one","Введите текущий пароль и новый  пароль"
"changepwd.newpass","New password","New password","Новый   пароль"
"changepwd.newpass2","Confirm new password","Confirm new password","Подтвердите  новый  пароль"
"changepwd.passinuse","Password in use","Password in use","Текущий пароль"
"changepwd.success1","The password was successfully changed!","The password was successfully changed!","Пароль успешно изменён!"
"changepwd.success2","It shall be used in the next time you log in the system","It shall be used in the next time you log in the system","Он должен  использоваться при следующей  загрузке системы."
"changepwd.wrongpass2","The confirmed password and the new password are not the same","The confirmed password and the new password are not the same","Подтвержденный  пароль  и новый пароль не совпадают"
"changews","Change workspace","Change workspace","Смените рабочее пространство"
"datetime.date","Date","Date","Дата"
"datetime.day","day","day","день"
"datetime.days","days","days","дни"
"datetime.hour","hour","hour","час"
"datetime.hours","hours","hours","час."
"datetime.month","Month","Month","месяц"
"datetime.months","Months","Months","мес."
"datetime.sec","sec","sec","сек."
"datetime.week","Week","Week","нед."
"datetime.year","Year","Year","год"
"datetime.years","years","years","годы"
"default.entity_created","Successfully created","Successfully created","Успешно создано"
"default.entity_deleted","Successfully deleted","Successfully deleted","Успешно удалено"
"default.entity_updated","Successfully updated","Successfully updated","Успешно обновлено"
"error.msg1","An unexpected error ocurred. The system administrator will be notified about this error. Please try again later!","An unexpected error ocurred. The system administrator will be notified about this error. Please try again later!","Произошла ошибка. Системный администратор получит уведомление об этой ошибке. Повторите попытку позже."
"error.title","Unexpected Error","Unexpected Error","Произошла ошибка"
"examresult.negative","Negative","Negative","Негативный"
"examresult.positive","Positive","Positive","Положительный"
"forgotpwd","Forgot your password?","Forgot your password?","Забыли пароль ?"
"forgotpwd.emailuser","e-mail or user account","e-mail or user account","эл.почта или аккаунт пользователя"
"forgotpwd.invalid","No user found with the e-mail or user account provided","No user found with the e-mail or user account provided","Не найден пользователь с данным Имейлом или аккаунтом пользователя "
"forgotpwd.msg","Please enter your e-mail or user name to start the process of reseting your password","Please enter your e-mail or user name to start the process of reseting your password","Пожалуйста введите вашу эл.почту или имя пользователя, чтоб начать процесс изменения пароля"
"forgotpwd.success","Please check your mailbox","Please check your mailbox","Пожалуйста проверьте вашу входящую  электронную почту"
"forgotpwd.success.1","An e-mail message was sent to you with instructions on how to change your password","An e-mail message was sent to you with instructions on how to change your password","Вам послали сообщение по имейлу с инструкцией как изменить ваш пароль"
"form.action","Action","Action","Действия"
"form.by","By","By","к"
"form.confirm_remove","Confirm delete?","Confirm delete?","Подтвердить удаление?"
"form.customId","Custom ID","Custom ID","Идентификатор"
"form.displayorder","Display order","Display order","Порядок отображения"
"form.filters","Filters","Filters","Фильтры"
"form.filters.add","Add filter","Add filter","Добавить фильтр"
"form.filters.remove","Remove filter","Remove filter","Удалите фильтр"
"form.id","ID","ID","Идентификатор"
"form.information","Information","Information","Информация"
"form.level","Level","Level","Уровень"
"form.name","Name","Name","Название"
"form.navegpage","Page","Page","Страница регистрации"
"form.navfirst","First","First","Первая"
"form.navlast","Last","Last","Последняя"
"form.navnext","Next","Next","Следующая"
"form.navprevious","Previous","Previous","Предыдущая"
"form.norecordfound","No record found","No record found","Запись не найдена."
"form.noselection","- All -","- All -","- Всё -"
"form.noselection2","- Select a value -","- Select a value -","- Выбрать значение -"
"form.of","Of","Of","от"
"form.ok","Ok","Ok","Ok"
"form.options","Options","Options","Опции"
"form.otherfilters","Other filters","Other filters","Другие фильтры"
"form.otheroptions","Other options","Other options","Другие опции"
"form.reason","Reason","Reason","Причина"
"form.required","Fields with this symbol beside are required fields","Fields with this symbol beside are required fields","Обозначенные звездочкой поля являются обязательными  для  заполнения"
"form.result","Resulting","Resulting","Результаты"
"form.resultlist","Record(s) found","Record(s) found","Запись найдена"
"form.searchkey","Search key","Search key","Поиск"
"form.shortName","Short name","Short name","Сокращенное название"
"form.ula","eTB Manager User License Agreement","e-TB Manager User License Agreement","Лицензионное соглашение конечного пользователя e-TB Manager"
"general","General","General","Общее"
"global.comments","Comments","Comments","Комментарии"
"global.createdby","Created by","Created by","Создан  ….ом"
"global.description","Description","Description","Описание"
"global.disabled","Disabled","Disabled","Дезактивирован"
"global.errorsaving","Error - changes not saved on database","Error - changes not saved on database","Ошибка - изменения не сохранены в базе данных"
"global.filters","Data selection filters","Data selection filters","Фильтры отбора данных"
"global.finalinitialdateerror","The final date can't be after the initial date.","The final date can't be after the initial date.","Окончательная дата не может быть выбрана до начальной даты"
"global.kg","Kg","Kg","кг"
"global.localtime","Local time","Local time","Местное время"
"global.location","Location","Location","Местонахождение"
"global.mobile","Mobile number","Mobile number","Номер мобильного телефона"
"global.no","No","No","Нет"
"global.notdef","Undefined","Undefined","Не определено"
"global.notdone","Not done","Not done","Не выполнено"
"global.planned","Planned","Planned","Запланированный"
"global.saving","Saving ...","Saving ...","Сохраняет"
"global.sorting","Sorting","Sorting","Сортировка"
"global.success","Success","Success","Удача"
"global.total","Total","Total","Итог"
"global.until","until","until","До"
"global.wait","Wait...","Wait...","Ожидайте  ..."
"global.waitmsg","Request is being processed","Request is being processed","Запрос обрабатывается"
"global.wrotein","wrote in","wrote in","Записано в"
"global.yes","Yes","Yes","Да"
"home","Home","Home","Главная"
"init.initoptions","e-TB Manager initialization","e-TB Manager initialization","Начальная загрузка e-TB Manager"
"init.initoptions.import","Import database from previous e-TB Manager version","Import database from previous e-TB Manager version","Импортируйте базу данных с предыдущей версии e-TB Manager"
"init.initoptions.sync","I already have an e-TB Manager account","I already have an e-TB Manager account","У меня уже есть аккаунт e-TB Manager-а"
"init.newworkspace","Start e-TB Manager with a new workspace","Start e-TB Manager with a new workspace","Начните e-TB Manager с нового рабочего пространства"
"init.regworkspace","Initial workspace registration","Initial workspace registration","Регистрация изначального рабочего пространства"
"init.welcome","Welcome to e-TB Manager","Welcome to e-TB Manager","Добро пожаловать в e-TB Manager"
"init.welcome.msg1","Please select your language and click 'Continue'","Please select your language and click 'Continue'","""Пожалуйста выберите язык и кликните (нажимайте) на """"Продолжить"""""""
"init.ws.adminemail","Administrator e-mail","Administrator e-mail","Эл. Почта Администратора "
"init.ws.admininfo","The administrator account is a special user with access to all data and functionalities inside e-TB Manager. It is recommended that you use this account with caution.","The administrator account is a special user with access to all data and functionalities inside e-TB Manager. It is recommended that you use this account with caution.","Учетная запись Администратора это специальный пользователь с правом входа в ко всем данным и к выполняемым функциям  внутри e-TB Manager. Рекомендовано использовать эту учетную запись с осторожностью. "
"init.ws.administrator","Administrator","Administrator","Администратор"
"init.ws.adminname","Administrator user name","Administrator user name","Имя пользователя Администратора"
"init.ws.adminpwd","Administrator password","Administrator password","Пароль Администратора"
"init.ws.adminpwd2","Administrator password (repeat)","Administrator password (repeat)","Пароль Администратора (повторить)"
"init.ws.create","Create a workspace","Create a workspace","Создайте рабочее пространство"
"init.ws.gotologin","Goto login page","Goto login page","Идите на страницу входа в систему"
"init.ws.name","Workspace name","Workspace name","Имя рабочего пространства"
"init.ws.success","The workspace {0} was successfully created","The workspace {0} was successfully created","Рабочее пространство  {0}  было успешно создано"
"inventory","Inventory","Inventory","Запасы"
"inventory.dispensing","Medicine dispensing","Medicine dispensing","Выдача препаратов"
